generator,capacity_mw,fuel_type,alt_fuel,heat_rate
OGDEN-MARTIN 1,38.055,MSW,DFO,
DEVON 12,38.437,KER,NG,11.5
HARRIMAN,38.663,WAT,,
DEVON 11,38.819,KER,NG,11.5
DEVON 13,38.967,KER,NG,11.5
WMI MILLBURY 1,39.835,MSW,,
WATERS RIVER JET 2,39.904,NG,DFO,
DEXTER 1,40.853,NG,DFO,
WILDER,40.92,WAT,,
SHEPAUG,41.207,WAT,,
SEMASS 1,45.49,MSW,DFO,
REGENERATE STRATTON,46.152,WDS,,
BELLOWS FALLS,46.445,WAT,,
WALLINGFORD UNIT 2,47.56,NG,,10.26691996
WALLINGFORD UNIT 3,47.78,NG,,10.26
MOORE 1,47.808,WAT,,
MOORE 2,47.825,WAT,,
MOORE 3,47.825,WAT,,
MOORE 4,47.825,WAT,,
NEW HAVEN HARBOR UNIT 2,48.267,KER,NG,14.79524838
NEW HAVEN HARBOR UNIT 3,48.267,KER,NG,14.79524838
NEW HAVEN HARBOR UNIT 4,48.267,KER,NG,14.79524838
COMERFORD 2,48.482,WAT,,
COMERFORD 4,48.516,WAT,,
COMERFORD 3,48.535,WAT,,
WALLINGFORD UNIT 4,49.03,NG,,10.26
DEVON 15,49.2,KER,NG,
DEVON 16,49.2,KER,NG,
DEVON 17,49.2,KER,NG,
DEVON 18,49.2,KER,NG,
MIDDLETOWN 12,49.2,KER,NG,18
MIDDLETOWN 13,49.2,KER,NG,18
MIDDLETOWN 14,49.2,KER,NG,18
MIDDLETOWN 15,49.2,KER,NG,18
WALLINGFORD UNIT 1,49.4,NG,,10.2648365
WALLINGFORD UNIT 6,49.84,NG,,10.2648365
WALLINGFORD UNIT 5,50,NG,,10.26
WALLINGFORD UNIT 7,50,NG,,10.26691996
BERLIN  1 GT,52.46,KER,,17.23404255
J C MCNEIL,54,WDS,,
MATEP (COMBINED CYCLE),55.989,NG,DFO,
THOMAS A. WATSON UNIT #1,57.4,NG,DFO,
THOMAS A. WATSON UNIT #2,57.4,NG,DFO,
"WHEELABRATOR BRIDGEPORT, L.P.",58.488,MSW,,
WEST MEDWAY JET 1,58.848,DFO,,10.74402467
WEST MEDWAY JET 3,60.733,DFO,,9.950143696
WEST MEDWAY JET 2,60.854,DFO,,10.35558242
CABOT,61.8,WAT,,
M STREET JET,64.9,KER,,20.9375
NORTHEAST RELIABILITY CENTER,65.173,NG,DFO,
BURGESS BIOPOWER,67.5,WDS,,
DARTMOUTH POWER,67.656,NG,DFO,8.402389357
WATERSIDE POWER,71.303,DFO,,11.57142857
MONTVILLE 5,78.746,RFO,NG,12.38177677
STONY BROOK 2B,85.3,DFO,,10.1
STONY BROOK 2A,87.092,DFO,,10.1
PIERCE STATION,93.729,NG,DFO,12.25570776
WATERBURY GENERATION FACILITY,98.416,NG,DFO,9.676646707
GREAT LAKES - MILLINOCKET,101.908,WAT,,
WEST MEDWAY JET 4,103.467,NG,DFO,10.35558242
WEST MEDWAY JET 5,103.467,NG,DFO,10.74402467
YARMOUTH 3,104.44,RFO,,11.60485681
MERRIMACK 1,108.05,BIT,,
MIDDLETOWN 2,108.763,RFO,NG,
CLEARY 9/9A CC,109.006,NG,DFO,12.35549645
STONY BROOK GT1B,115.451,NG,DFO,9.1
STONY BROOK GT1C,116.706,NG,DFO,9.1
STONY BROOK GT1A,117.642,NG,DFO,9.1
NEA BELLINGHAM 1B,166.462,NG,DFO,8.399502958
NEA BELLINGHAM 1A,166.463,NG,DFO,8.399502958
MANCHESTER 9/9A CC,166.662,NG,DFO,8.348452658
MANCHESTER 10/10A CC,167.25,NG,DFO,8.348452658
MANCHESTER 11/11A CC,170,NG,DFO,8.348452658
ALTRESCO,174.052,NG,DFO,9.300061614
BUCKSPORT,178.209,NG,DFO,
KENDALL CT,187.4,NG,DFO,7.586
DIGHTON POWER LLC,190.632,NG,,7.254673852
MILFORD POWER,205.833,NG,,8.003233743
MIDDLETOWN 3,210.821,RFO,NG,
BERKSHIRE POWER,246.279,NG,,7.334660833
MAINE INDEPENDENCE STATION 1,273.751,NG,,7.372158631
MAINE INDEPENDENCE STATION 2,273.751,NG,,7.372158631
ANP-BLACKSTONE ENERGY 1,274.898,NG,,7.42598347
RUMFORD POWER,278.575,NG,,7.770258579
MASS POWER,279.8,NG,,8.853164039
ANP-BLACKSTONE ENERGY 2,281.07,NG,,7.732969411
LAKE ROAD 1,284.681,NG,,7.54655333
WESTBROOK ENERGY CENTER G1,285.5,NG,,7.207912974
WESTBROOK ENERGY CENTER G2,285.5,NG,,7.2
MILFORD POWER 1,290.225,NG,,7.610199035
LAKE ROAD 3,290.915,NG,,7.54655333
MILFORD POWER 2,291.164,NG,,7.609493219
MERRIMACK 2,291.404,BIT,,12
LAKE ROAD 2,292.387,NG,,7.54655333
NORTHFIELD MOUNTAIN 1,293.5,PS,,
NORTHFIELD MOUNTAIN 2,293.5,PS,,
NORTHFIELD MOUNTAIN 3,293.5,PS,,
NORTHFIELD MOUNTAIN 4,293.5,PS,,
ANP-BELLINGHAM 1,294.934,NG,,7.637426844
TIVERTON POWER,295.55,NG,,7.374449555
ANP-BELLINGHAM 2,303.368,NG,,7.6
OCEAN ST PWR GT3/GT4/ST2,308.35,NG,DFO,9.136547396
OCEAN ST PWR GT1/GT2/ST1,316.901,NG,DFO,9.221182527
J. COCKWELL 2,330.597,PS,,
J. COCKWELL 1,330.966,PS,,
CANAL 3,336.2,NG,DFO,10.3
SALEM 6,346.588,NG,,7.652205956
SALEM 5,357.8,NG,,7.664676129
GRANITE RIDGE ENERGY 1A,366.058,NG,,7.568389151
GRANITE RIDGE ENERGY 1B,366.058,NG,,7.615779407
MILLENNIUM,369.212,NG,,8.897823303
MIDDLETOWN 4,386.914,RFO,,
NEWINGTON 1,400.2,RFO,NG,
FORE RIVER 11,400.765,NG,DFO,7.46230291
FORE RIVER 12,400.765,NG,DFO,7.46230291
MONTVILLE 6,403.069,RFO,,12.38177677
CPV TOWANTIC 1A,430.878,NG,DFO,6.696040338
CPV TOWANTIC 1B,430.878,NG,DFO,6.653718856
NEW HAVEN HARBOR,450.972,RFO,NG,12.9038446
BRIDGEPORT HARBOR CCGT,515.745,NG,DFO,7.139838067
BRIDGEPORT ENERGY 1,555.472,NG,,7.139838067
CANAL 2,558.75,RFO,NG,10.24584886
CANAL 1,565,RFO,,10.33052894
YARMOUTH 4,601.8,RFO,,11.60485681
RISEP,616.356,NG,,7.183152315
KLEEN ENERGY,620,NG,DFO,7.252354064
"EP NEWINGTON ENERGY, LLC",630.368,NG,DFO,7.724761888
MILLSTONE POINT 2,868.571,NUC,,
SEABROOK,1247.9,NUC,,
MILLSTONE POINT 3,1250.959,NUC,,
